site,age
  SITE A  ,23.60810810810811
  SITE B  ,59.670212765957444
  SITE C  ,60.25454545454546
  SITE D  ,77.85365853658537
  SITE E  ,12.258064516129032
  Site  A  ,80.32835820895522
  Site A  ,49.84375
  Site B  ,56.31818181818182
  Site C  ,27.83132530120482
  Site D  ,-25.3125
  Site E  ,75.5
  Site_D  ,9.870967741935484
  site a  ,67.27027027027027
  site b  ,57.022222222222226
  site c  ,80.9298245614035
  site d  ,81.0
  site e  ,83.19444444444444
SITE A,60.91081871345029
SITE B,63.62873399715505
SITE C,55.4595041322314
SITE D,55.5111821086262
SITE E,51.86779661016949
Site  A,53.77092511013216
Site A,61.44024205748865
Site B,56.911684782608695
Site C,60.890577507598785
Site D,67.47237569060773
Site E,56.4294670846395
Site_D,77.99397590361446
site a,49.803379416282645
site b,68.40566037735849
site c,56.832520325203255
site d,61.882521489971346
site e,61.86054421768708
